Head            | Head POS   | Relation   | Dependent       | Dependent POS
called          | VBD        | dep        | settled         | VBD       
settled         | VBD        | advmod     | When            | WRB       
settled         | VBD        | nsubj      | culture         | NN        
culture         | NN         | amod       | Islamic         | JJ        
settled         | VBD        | compound:prt | in              | RP        
settled         | VBD        | obj        | Valencia        | NNP       
called          | VBD        | advmod     | then            | RB        
called          | VBD        | nsubj      | Balansiyya      | NNP       
called          | VBD        | advcl      | prospered       | VBN       
prospered       | VBN        | obl        | century         | NN        
century         | NN         | case       | from            | IN        
century         | NN         | det        | the             | DT        
century         | NN         | amod       | 10th            | JJ        
century         | NN         | appos      | work            | NN        
work            | NN         | amod       | due             | JJ        
due             | JJ         | obl        | trade           | NN        
trade           | NN         | case       | to              | IN        
trade           | NN         | det        | a               | DT        
trade           | NN         | amod       | booming         | VBG       
trade           | NN         | nmod       | paper           | NN        
paper           | NN         | case       | in              | IN        
paper           | NN         | conj       | silk            | NN        
paper           | NN         | conj       | leather         | NN        
paper           | NN         | conj       | ceramics        | NNS       
paper           | NN         | conj       | glass           | NN        
paper           | NN         | conj       | silver          | NN        
silver          | NN         | cc         | and             | CC        
work            | NN         | punct      | -               | HYPH      

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
abundant        | JJ         | nsubj      | legacy          | NN        
legacy          | NN         | det        | The             | DT        
legacy          | NN         | amod       | architectural   | JJ        
legacy          | NN         | nmod       | period          | NN        
period          | NN         | case       | of              | IN        
period          | NN         | det        | this            | DT        
abundant        | JJ         | cop        | is              | VBZ       
abundant        | JJ         | obl        | Valencia        | NNP       
Valencia        | NNP        | case       | in              | IN        
abundant        | JJ         | conj       | appreciated     | VBN       
appreciated     | VBN        | cc         | and             | CC        
appreciated     | VBN        | aux        | can             | MD        
appreciated     | VBN        | advmod     | still           | RB        
appreciated     | VBN        | aux:pass   | be              | VB        
appreciated     | VBN        | obl:tmod   | today           | NN        
appreciated     | VBN        | obl        | remnants        | NNS       
remnants        | NNS        | case       | in              | IN        
remnants        | NNS        | det        | the             | DT        
remnants        | NNS        | nmod       | walls           | NNS       
walls           | NNS        | case       | of              | IN        
walls           | NNS        | det        | the             | DT        
walls           | NNS        | amod       | old             | JJ        
walls           | NNS        | conj       | house           | NN        
house           | NN         | det        | the             | DT        
house           | NN         | compound   | Baños           | FW        
house           | NN         | compound   | del             | FW        
house           | NN         | compound   | Almirante       | FW        
house           | NN         | compound   | bath            | NN        
walls           | NNS        | conj       | street          | NNP       
street          | NNP        | compound   | Portal          | NNP       
street          | NNP        | amod       | de              | IN        
street          | NNP        | compound   | Valldigna       | NNP       
walls           | NNS        | conj       | Cathedral       | NN        
Cathedral       | NN         | cc         | and             | CC        
Cathedral       | NN         | advmod     | even            | RB        
Cathedral       | NN         | det        | the             | DT        
remnants        | NNS        | conj       | tower           | NN        
tower           | NN         | cc         | and             | CC        
tower           | NN         | det        | the             | DT        
tower           | NN         | appos      | Miguelete       | NNP       
Miguelete       | NNP        | compound   | El              | NNP       
Miguelete       | NNP        | compound   | Micalet         | NNP       
Miguelete       | NNP        | compound   | El              | NNP       
remnants        | NNS        | acl:relcl  | minaret         | NN        
minaret         | NN         | nsubj      | which           | WDT       
minaret         | NN         | cop        | was             | VBD       
minaret         | NN         | det        | the             | DT        
minaret         | NN         | nmod       | mosque          | NN        
mosque          | NN         | case       | of              | IN        
mosque          | NN         | det        | the             | DT        
mosque          | NN         | amod       | old             | JJ        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
reflected       | VBN        | nsubj:pass | boom            | NN        
boom            | NN         | det        | This            | DT        
reflected       | VBN        | aux:pass   | was             | VBD       
reflected       | VBN        | obl        | growth          | NN        
growth          | NN         | case       | in              | IN        
growth          | NN         | det        | the             | DT        
growth          | NN         | nmod       | pursuits        | NNS       
pursuits        | NNS        | case       | of              | IN        
pursuits        | NNS        | amod       | artistic        | JJ        
artistic        | JJ         | conj       | cultural        | JJ        
cultural        | JJ         | cc         | and             | CC        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
built           | VBN        | nsubj:pass | Some            | DT        
Some            | DT         | nmod       | buildings       | NNS       
buildings       | NNS        | case       | of              | IN        
buildings       | NNS        | det        | the             | DT        
buildings       | NNS        | amod       | emblematic      | JJ        
emblematic      | JJ         | advmod     | most            | RBS       
buildings       | NNS        | nmod       | city            | NN        
city            | NN         | case       | of              | IN        
city            | NN         | det        | the             | DT        
built           | VBN        | aux:pass   | were            | VBD       
built           | VBN        | obl        | period          | NN        
period          | NN         | case       | during          | IN        
period          | NN         | det        | this            | DT        
period          | NN         | nmod       | Towers          | NNP       
Towers          | NNP        | case       | including       | VBG       
Towers          | NNP        | det        | the             | DT        
Towers          | NNP        | compound   | Serranos        | NNP       
Towers          | NNP        | appos      | 1392            | CD        
Towers          | NNP        | appos      | Lonja           | NNP       
Lonja           | NNP        | det        | the             | DT        
period          | NN         | appos      | 1482            | CD        
period          | NN         | conj       | Miguelete       | NNP       
Miguelete       | NNP        | det        | the             | DT        
period          | NN         | conj       | Chapel          | NN        
Chapel          | NN         | cc         | and             | CC        
Chapel          | NN         | det        | the             | DT        
Chapel          | NN         | nmod       | Kings           | NNS       
Kings           | NNS        | case       | of              | IN        
Kings           | NNS        | det        | the             | DT        
Kings           | NNS        | nmod       | Convent         | NNP       
Convent         | NNP        | case       | of              | IN        
Convent         | NNP        | det        | the             | DT        
Convent         | NNP        | nmod       | Domingo         | NNP       
Domingo         | NNP        | case       | of              | IN        
Domingo         | NNP        | compound   | Santo           | NNP       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
had             | VBD        | obl        | painting        | NN        
painting        | NN         | case       | In              | IN        
painting        | NN         | conj       | sculpture       | NN        
sculpture       | NN         | cc         | and             | CC        
had             | VBD        | nsubj      | trends          | NNS       
trends          | NNS        | compound   | Flemish         | JJ        
Flemish         | JJ         | conj       | Italian         | JJ        
Italian         | JJ         | cc         | and             | CC        
had             | VBD        | obj        | influence       | NN        
influence       | NN         | det        | an              | DT        
influence       | NN         | nmod       | artists         | NNS       
artists         | NNS        | case       | on              | IN        
artists         | NNS        | nmod       | Dalmau          | NNP       
Dalmau          | NNP        | case       | such            | JJ        
such            | JJ         | fixed      | as              | IN        
Dalmau          | NNP        | compound   | Lluís           | NNP       
Dalmau          | NNP        | conj       | Gonçal          | NNP       
Gonçal          | NNP        | compound   | Peris           | NNP       
Dalmau          | NNP        | conj       | Forment         | NNP       
Forment         | NNP        | cc         | and             | CC        
Forment         | NNP        | compound   | Damià           | NNP       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
Literature      | NNP        | dep        | flourished      | VBN       
flourished      | VBN        | obl        | patronage       | NN        
patronage       | NN         | case       | with            | IN        
patronage       | NN         | det        | the             | DT        
patronage       | NN         | nmod       | court           | NN        
court           | NN         | case       | of              | IN        
court           | NN         | det        | the             | DT        
court           | NN         | nmod       | Alfonso         | NNP       
Alfonso         | NNP        | case       | of              | IN        
Literature      | NNP        | parataxis  | Magnanimous     | NNPS      
Magnanimous     | NNPS       | det        | the             | DT        
Magnanimous     | NNPS       | dep        | supporting      | VBG       
supporting      | VBG        | obj        | authors         | NNS       
supporting      | VBG        | obl        | March           | NNP       
March           | NNP        | case       | like            | IN        
March           | NNP        | compound   | Ausiàs          | NNP       
March           | NNP        | conj       | Corella         | FW        
Corella         | FW         | compound   | Roiç            | FW        
Corella         | FW         | compound   | de              | FW        
March           | NNP        | conj       | Villena         | NNP       
Villena         | NNP        | cc         | and             | CC        
Villena         | NNP        | compound   | Isabel          | NNP       
Villena         | NNP        | compound   | de              | NNP       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
wrote           | VBD        | obl        | 1460            | CD        
1460            | CD         | case       | By              | IN        
wrote           | VBD        | nsubj      | Martorell       | NNP       
Martorell       | NNP        | compound   | Joanot          | NNP       
wrote           | VBD        | obj        | Blanch          | NNP       
Blanch          | NNP        | compound   | Tirant          | NNP       
Blanch          | NNP        | compound   | lo              | NNP       
Blanch          | NNP        | appos      | novel           | NN        
novel           | NN         | det        | an              | DT        
novel           | NN         | amod       | innovative      | JJ        
novel           | NN         | nmod       | chivalry        | NN        
chivalry        | NN         | case       | of              | IN        
Blanch          | NNP        | acl:relcl  | influenced      | VBD       
influenced      | VBD        | nsubj      | that            | WDT       
influenced      | VBD        | obj        | writers         | NNS       
writers         | NNS        | amod       | many            | JJ        
writers         | NNS        | amod       | later           | JJ        
influenced      | VBD        | obl        | Cervantes       | NNP       
Cervantes       | NNP        | case       | from            | IN        
influenced      | VBD        | obl        | Shakespeare     | NNP       
Shakespeare     | NNP        | case       | to              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
one             | CD         | nsubj      | March           | NNP       
March           | NNP        | compound   | Ausiàs          | NNP       
one             | CD         | cop        | was             | VBD       
one             | CD         | nmod       | poets           | NNS       
poets           | NNS        | case       | of              | IN        
poets           | NNS        | det        | the             | DT        
poets           | NNS        | amod       | first           | JJ        
one             | CD         | acl        | use             | VB        
use             | VB         | mark       | to              | TO        
use             | VB         | obj        | Valencian       | NNP       
Valencian       | NNP        | det        | the             | DT        
Valencian       | NNP        | compound   | language        | NN        
language        | NN         | amod       | everyday        | JJ        
Valencian       | NNP        | conj       | language        | NN        
language        | NN         | cc         | instead         | RB        
instead         | RB         | fixed      | of              | IN        
language        | NN         | det        | the             | DT        
language        | NN         | compound   | troubadour      | NN        
language        | NN         | appos      | Occitan         | NNP       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
founded         | VBN        | obl        | time            | NN        
time            | NN         | advmod     | Also            | RB        
time            | NN         | case       | around          | IN        
time            | NN         | det        | this            | DT        
time            | NN         | nmod       | 1499            | CD        
1499            | CD         | case       | between         | IN        
1499            | CD         | conj       | 1502            | CD        
1502            | CD         | cc         | and             | CC        
founded         | VBN        | nsubj:pass | University      | NNP       
University      | NNP        | det        | the             | DT        
University      | NNP        | nmod       | Valencia        | NNP       
Valencia        | NNP        | case       | of              | IN        
founded         | VBN        | aux:pass   | was             | VBD       
founded         | VBN        | obl        | name            | NN        
name            | NN         | case       | under           | IN        
name            | NN         | det        | the             | DT        
name            | NN         | amod       | parsimonious    | JJ        
name            | NN         | nmod       | General         | NNP       
General         | NNP        | case       | of              | IN        
General         | NNP        | compound   | Estudio         | NNP       
founded         | VBN        | dep        | generale        | NN        
generale        | NN         | compound   | studium         | NN        
generale        | NN         | appos      | place           | NN        
place           | NN         | nmod       | studies         | NNS       
studies         | NNS        | case       | of              | IN        
studies         | NNS        | amod       | general         | JJ        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
reached         | VBD        | nsubj      | decline         | NN        
decline         | NN         | det        | The             | DT        
decline         | NN         | nmod       | city            | NN        
city            | NN         | case       | of              | IN        
city            | NN         | det        | the             | DT        
reached         | VBD        | obj        | nadir           | NN        
nadir           | NN         | nmod:poss  | its             | PRP$      
reached         | VBD        | obl        | War             | NN        
War             | NN         | case       | with            | IN        
War             | NN         | det        | the             | DT        
War             | NN         | nmod       | Succession      | NNP       
Succession      | NNP        | case       | of              | IN        
Succession      | NNP        | compound   | Spanish         | NNP       
Succession      | NNP        | appos      | 1702            | CD        
1702            | CD         | dep        | 1709            | CD        
Succession      | NNP        | acl:relcl  | marked          | VBD       
marked          | VBD        | nsubj      | that            | WDT       
marked          | VBD        | obj        | end             | NN        
end             | NN         | det        | the             | DT        
end             | NN         | nmod       | independence    | NN        
independence    | NN         | case       | of              | IN        
independence    | NN         | det        | the             | DT        
independence    | NN         | amod       | political       | JJ        
political       | JJ         | conj       | legal           | JJ        
legal           | JJ         | cc         | and             | CC        
independence    | NN         | nmod       | Kingdom         | NNP       
Kingdom         | NNP        | case       | of              | IN        
Kingdom         | NNP        | det        | the             | DT        
Kingdom         | NNP        | nmod       | Valencia        | NNP       
Valencia        | NNP        | case       | of              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
sided           | VBD        | obl        | War             | NN        
War             | NN         | case       | During          | IN        
War             | NN         | det        | the             | DT        
War             | NN         | nmod       | Succession      | NNP       
Succession      | NNP        | case       | of              | IN        
Succession      | NNP        | det        | the             | DT        
Succession      | NNP        | compound   | Spanish         | NNP       
sided           | VBD        | nsubj      | Valencia        | NNP       
sided           | VBD        | obl        | Charles         | NNP       
Charles         | NNP        | case       | with            | IN        
Charles         | NNP        | nmod       | Austria         | NNP       
Austria         | NNP        | case       | of              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
led             | VBD        | obl        | 24              | CD        
24              | CD         | case       | On              | IN        
24              | CD         | dep        | January         | NNP       
January         | NNP        | nummod     | 1706            | CD        
led             | VBD        | nsubj      | Mordaunt        | NNP       
Mordaunt        | NNP        | compound   | Charles         | NNP       
Mordaunt        | NNP        | appos      | Earl            | NNP       
Earl            | NNP        | compound   | 3rd             | NNP       
Earl            | NNP        | nmod       | Earl            | NNP       
Earl            | NNP        | case       | of              | IN        
Earl            | NNP        | compound   | Peterborough    | NNP       
Earl            | NNP        | amod       | 1st             | JJ        
Earl            | NNP        | nmod       | Monmouth        | NNP       
Monmouth        | NNP        | case       | of              | IN        
led             | VBD        | obj        | handful         | NN        
handful         | NN         | det        | a               | DT        
handful         | NN         | nmod       | cavalrymen      | NN        
cavalrymen      | NN         | case       | of              | IN        
cavalrymen      | NN         | amod       | English         | JJ        
led             | VBD        | obl        | city            | NN        
city            | NN         | case       | into            | IN        
city            | NN         | det        | the             | DT        
led             | VBD        | advcl      | riding          | VBG       
riding          | VBG        | mark       | after           | IN        
riding          | VBG        | advmod     | south           | RB        
south           | RB         | obl        | Barcelona       | NNP       
Barcelona       | NNP        | case       | from            | IN        
riding          | VBG        | conj       | capturing       | VBG       
capturing       | VBG        | obj        | fortress        | NN        
fortress        | NN         | det        | the             | DT        
fortress        | NN         | amod       | nearby          | JJ        
capturing       | VBG        | obl        | Sagunt          | NNP       
Sagunt          | NNP        | case       | at              | IN        
riding          | VBG        | conj       | bluffing        | VBG       
bluffing        | VBG        | cc         | and             | CC        
bluffing        | VBG        | obj        | army            | NN        
army            | NN         | det        | the             | DT        
army            | NN         | amod       | Spanish         | JJ        
army            | NN         | compound   | Bourbon         | NN        
bluffing        | VBG        | obl        | withdrawal      | NN        
withdrawal      | NN         | case       | into            | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
seized          | VBD        | nsubj      | mutineers       | NNS       
mutineers       | NNS        | det        | The             | DT        
seized          | VBD        | ccomp      | took            | VBD       
took            | VBD        | nsubj      | Citadel         | NNP       
Citadel         | NNP        | det        | the             | DT        
Citadel         | NNP        | appos      | government      | NN        
government      | NN         | det        | a               | DT        
government      | NN         | compound   | Junta           | NNP       
Junta           | NNP        | compound   | Supreme         | NNP       
took            | VBD        | compound:prt | over            | RP        
seized          | VBD        | conj       | attacked        | VBD       
attacked        | VBD        | cc         | and             | CC        
attacked        | VBD        | obl        | 28              | CD        
28              | CD         | case       | on              | IN        
28              | CD         | compound   | 26              | CD        
28              | CD         | dep        | –               | SYM       
28              | CD         | appos      | June            | NNP       
attacked        | VBD        | nsubj      | Moncey          | NNP       
Moncey          | NNP        | nmod:poss  | Napoleon        | NNP       
Napoleon        | NNP        | case       | 's              | POS       
Moncey          | NNP        | compound   | Marshal         | NNP       
attacked        | VBD        | obj        | city            | NN        
city            | NN         | det        | the             | DT        
attacked        | VBD        | obl        | column          | NN        
column          | NN         | case       | with            | IN        
column          | NN         | det        | a               | DT        
column          | NN         | nmod       | troops          | NNS       
troops          | NNS        | case       | of              | IN        
troops          | NNS        | nummod     | 9,000           | CD        
troops          | NNS        | amod       | French          | JJ        
troops          | NNS        | amod       | imperial        | JJ        
attacked        | VBD        | obl        | Battle          | NNP       
Battle          | NNP        | case       | in              | IN        
Battle          | NNP        | det        | the             | DT        
Battle          | NNP        | compound   | First           | NNP       
Battle          | NNP        | nmod       | Valencia        | NNP       
Valencia        | NNP        | case       | of              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
failed          | VBD        | nsubj      | He              | PRP       
failed          | VBD        | xcomp      | take            | VB        
take            | VB         | mark       | to              | TO        
take            | VB         | obj        | city            | NN        
city            | NN         | det        | the             | DT        
take            | VB         | obl        | assaults        | NNS       
assaults        | NNS        | case       | in              | IN        
assaults        | NNS        | nummod     | two             | CD        
failed          | VBD        | conj       | retreated       | VBD       
retreated       | VBD        | cc         | and             | CC        
retreated       | VBD        | obl        | Madrid          | NNP       
Madrid          | NNP        | case       | to              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
began           | VBD        | nsubj      | Suchet          | NNP       
Suchet          | NNP        | compound   | Marshal         | NNP       
began           | VBD        | obj        | siege           | NN        
siege           | NN         | det        | a               | DT        
siege           | NN         | amod       | long            | JJ        
siege           | NN         | nmod       | city            | NN        
city            | NN         | case       | of              | IN        
city            | NN         | det        | the             | DT        
began           | VBD        | obl        | October         | NNP       
October         | NNP        | case       | in              | IN        
October         | NNP        | nummod     | 1811            | CD        
October         | NNP        | conj       | bombardment     | NN        
bombardment     | NN         | cc         | and             | CC        
bombardment     | NN         | case       | after           | IN        
bombardment     | NN         | amod       | intense         | JJ        
bombardment     | NN         | acl        | forced          | VBN       
forced          | VBN        | obj        | it              | PRP       
forced          | VBN        | xcomp      | surrender       | VB        
surrender       | VB         | mark       | to              | TO        
surrender       | VB         | obl        | 8               | CD        
8               | CD         | case       | on              | IN        
surrender       | VB         | obl:tmod   | January         | NNP       
January         | NNP        | nummod     | 1812            | CD        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
moved           | VBD        | obl        | capitulation    | NN        
capitulation    | NN         | case       | After           | IN        
capitulation    | NN         | det        | the             | DT        
moved           | VBD        | nsubj      | reforms         | NNS       
reforms         | NNS        | det        | the             | DT        
reforms         | NNS        | amod       | French          | JJ        
reforms         | NNS        | nummod     | instituted      | CD        
reforms         | NNS        | nmod       | Valencia        | NNP       
Valencia        | NNP        | case       | in              | IN        
reforms         | NNS        | acl:relcl  | became          | VBD       
became          | VBD        | nsubj      | which           | WDT       
became          | VBD        | xcomp      | capital         | NN        
capital         | NN         | det        | the             | DT        
capital         | NN         | nmod       | Spain           | NNP       
Spain           | NNP        | case       | of              | IN        
became          | VBD        | advcl      | pretender       | VBP       
pretender       | VBP        | advmod     | when            | WRB       
pretender       | VBP        | nsubj      | Bonapartist     | NNP       
Bonapartist     | NNP        | det        | the             | DT        
pretender       | VBP        | obl        | throne          | NN        
throne          | NN         | case       | to              | IN        
throne          | NN         | det        | the             | DT        
pretender       | VBP        | xcomp      | José            | VBG       
José            | VBG        | obj        | I               | PRP       
pretender       | VBP        | dep        | Bonaparte       | NNP       
Bonaparte       | NNP        | compound   | Joseph          | NNP       
Bonaparte       | NNP        | appos      | brother         | NN        
brother         | NN         | nmod:poss  | Napoleon        | NNP       
Napoleon        | NNP        | case       | 's              | POS       
brother         | NN         | amod       | elder           | JJR       
moved           | VBD        | obj        | Court           | NNP       
Court           | NNP        | det        | the             | DT        
moved           | VBD        | advmod     | there           | RB        
moved           | VBD        | obl        | summer          | NN        
summer          | NN         | case       | in              | IN        
summer          | NN         | det        | the             | DT        
summer          | NN         | nmod       | 1812            | CD        
1812            | CD         | case       | of              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
obliged         | VBN        | nsubj      | disaster        | NN        
disaster        | NN         | det        | The             | DT        
disaster        | NN         | nmod       | Battle          | NN        
Battle          | NN         | case       | of              | IN        
Battle          | NN         | det        | the             | DT        
Battle          | NN         | nmod       | Vitoria         | NNP       
Vitoria         | NNP        | case       | of              | IN        
Vitoria         | NNP        | nmod       | 21              | CD        
21              | CD         | case       | on              | IN        
Vitoria         | NNP        | dep        | June            | NNP       
June            | NNP        | nummod     | 1813            | CD        
obliged         | VBN        | obj        | Suchet          | NNP       
obliged         | VBN        | advcl      | quit            | VB        
quit            | VB         | mark       | to              | TO        
quit            | VB         | obj        | Valencia        | NNP       
obliged         | VBN        | conj       | withdrew        | VBD       
withdrew        | VBD        | cc         | and             | CC        
withdrew        | VBD        | nsubj      | troops          | NNS       
troops          | NNS        | det        | the             | DT        
troops          | NNS        | amod       | French          | JJ        
withdrew        | VBD        | obl        | July            | NNP       
July            | NNP        | case       | in              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
deepened        | VBD        | nsubj      | crisis          | NN        
crisis          | NN         | det        | The             | DT        
deepened        | VBD        | obl        | century         | NN        
century         | NN         | case       | during          | IN        
century         | NN         | det        | the             | DT        
century         | NN         | amod       | 17th            | JJ        
deepened        | VBD        | obl        | expulsion       | NN        
expulsion       | NN         | case       | with            | IN        
expulsion       | NN         | det        | the             | DT        
expulsion       | NN         | nmod       | 1609            | CD        
1609            | CD         | case       | in              | IN        
1609            | CD         | nmod       | Jews            | NNPS      
Jews            | NNPS       | case       | of              | IN        
Jews            | NNPS       | det        | the             | DT        
expulsion       | NN         | conj       | Moriscos        | NNPS      
Moriscos        | NNPS       | cc         | and             | CC        
Moriscos        | NNPS       | det        | the             | DT        
Moriscos        | NNPS       | appos      | descendants     | NNS       
descendants     | NNS        | nmod       | population      | NN        
population      | NN         | case       | of              | IN        
population      | NN         | det        | the             | DT        
population      | NN         | amod       | Muslim          | JJ        
population      | NN         | acl:relcl  | converted       | VBN       
converted       | VBN        | nsubj      | that            | WDT       
converted       | VBN        | obl        | Christianity    | NNP       
Christianity    | NNP        | case       | to              | IN        
converted       | VBN        | obl        | threat          | NN        
threat          | NN         | case       | under           | IN        
threat          | NN         | nmod       | exile           | NN        
exile           | NN         | case       | of              | IN        
exile           | NN         | nmod       | Ferdinand       | NNP       
Ferdinand       | NNP        | case       | from            | IN        
Ferdinand       | NNP        | conj       | Isabella        | NNP       
Isabella        | NNP        | cc         | and             | CC        
converted       | VBN        | obl        | 1502            | CD        
1502            | CD         | case       | in              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
forced          | VBD        | obl        | 1609            | CD        
1609            | CD         | case       | From            | IN        
1609            | CD         | nmod       | 1614            | CD        
1614            | CD         | case       | through         | IN        
forced          | VBD        | nsubj      | government      | NN        
government      | NN         | det        | the             | DT        
government      | NN         | amod       | Spanish         | JJ        
forced          | VBD        | advmod     | systematically  | RB        
forced          | VBD        | obj        | Moriscos        | NNP       
forced          | VBD        | xcomp      | leave           | VB        
leave           | VB         | mark       | to              | TO        
leave           | VB         | obj        | kingdom         | NN        
kingdom         | NN         | det        | the             | DT        
kingdom         | NN         | nmod       | Africa          | NNP       
Africa          | NNP        | case       | for             | IN        
Africa          | NNP        | compound   | Muslim          | NNP       
Africa          | NNP        | compound   | North           | NNP       

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
concentrated    | VBN        | nsubj:pass | They            | PRP       
concentrated    | VBN        | aux:pass   | were            | VBD       
concentrated    | VBN        | obl        | Kingdom         | NNP       
Kingdom         | NNP        | case       | in              | IN        
Kingdom         | NNP        | det        | the             | DT        
Kingdom         | NNP        | amod       | former          | JJ        
Kingdom         | NNP        | nmod       | Aragon          | NNP       
Aragon          | NNP        | case       | of              | IN        
concentrated    | VBN        | advcl      | constituted     | VBD       
constituted     | VBD        | advmod     | where           | WRB       
constituted     | VBD        | nsubj      | they            | PRP       
constituted     | VBD        | obj        | fifth           | NN        
fifth           | NN         | det        | a               | DT        
fifth           | NN         | nmod       | population      | NN        
population      | NN         | case       | of              | IN        
population      | NN         | det        | the             | DT        
concentrated    | VBN        | conj       | area            | NN        
area            | NN         | cc         | and             | CC        
area            | NN         | det        | the             | DT        
area            | NN         | compound   | Valencia        | NNP       
area            | NN         | advmod     | specifically    | RB        
concentrated    | VBN        | advcl      | third           | NN        
third           | NN         | advmod     | where           | WRB       
third           | NN         | nsubj      | they            | PRP       
third           | NN         | cop        | were            | VBD       
third           | NN         | advmod     | roughly         | RB        
third           | NN         | advmod     | a               | DT        
third           | NN         | nmod       | population      | NN        
population      | NN         | case       | of              | IN        
population      | NN         | det        | the             | DT        
population      | NN         | amod       | total           | JJ        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
caused          | VBD        | nsubj      | expulsion       | NN        
expulsion       | NN         | det        | The             | DT        
caused          | VBD        | obj        | ruin            | NN        
ruin            | NN         | det        | the             | DT        
ruin            | NN         | amod       | financial       | JJ        
ruin            | NN         | nmod       | some            | DT        
some            | DT         | case       | of              | IN        
some            | DT         | nmod       | nobility        | NN        
nobility        | NN         | case       | of              | IN        
nobility        | NN         | det        | the             | DT        
some            | DT         | conj       | bankruptcy      | NN        
bankruptcy      | NN         | cc         | and             | CC        
bankruptcy      | NN         | det        | the             | DT        
bankruptcy      | NN         | nmod       | Canvi           | FW        
Canvi           | FW         | case       | of              | IN        
Canvi           | FW         | det        | the             | DT        
Canvi           | FW         | compound   | Taula           | FW        
Canvi           | FW         | compound   | de              | FW        
Canvi           | FW         | nmod       | 1613            | CD        
1613            | CD         | case       | in              | IN        

Head            | Head POS   | Relation   | Dependent       | Dependent POS
---------------------------------------------------------------------------
endeavoured     | VBD        | nsubj      | Crown           | NNP       
Crown           | NNP        | det        | The             | DT        
endeavoured     | VBD        | xcomp      | compensate      | VB        
compensate      | VB         | mark       | to              | TO        
compensate      | VB         | obj        | nobles          | NNS       
nobles          | NNS        | det        | the             | DT        
nobles          | NNS        | acl:relcl  | lost            | VBN       
lost            | VBN        | nsubj      | who             | WP        
lost            | VBN        | aux        | had             | VBD       
lost            | VBN        | advmod     | much            | RB        
much            | RB         | obl        | force           | NN        
force           | NN         | case       | of              | IN        
force           | NN         | nmod:poss  | their           | PRP$      
force           | NN         | compound   | labour          | NN        
labour          | NN         | amod       | agricultural    | JJ        
endeavoured     | VBD        | parataxis  | harmed          | VBD       
harmed          | VBD        | nsubj      | this            | DT        
harmed          | VBD        | obj        | economy         | NN        
economy         | NN         | det        | the             | DT        
